7,8,8,9,83
6,7,7,6,65
4,6,7,8,69
5,6,8,6,65
3,7,5,9,68
5,8,6,9,75
6,9,4,8,68
7,10,7,8,80
9,6,8,9,81
10,8,9,10,93
7,7,5,6,60
6,7,3,7,57
6,8,5,8,69
7,5,6,9,71
8,6,7,10,81
9,4,9,6,68
10,7,10,8,86
6,8,7,7,71
8,9,6,7,72
6,6,8,5,62
7,7,5,6,60
8,8,6,7,70
9,9,4,9,75
10,9,7,10,89
6,6,8,7,70
8,8,9,6,75
7,5,8,6,65
7,3,9,4,56
8,5,10,7,76
5,6,6,8,67
6,7,8,9,80
4,9,5,8,69
7,10,3,9,72
8,7,5,10,77
9,6,6,6,63
8,8,7,5,65
7,7,8,6,69
6,7,9,4,63
6,8,10,7,80
7,5,6,8,67
8,6,8,9,80
9,4,5,8,64
10,7,8,9,84
6,8,5,10,77
8,9,6,6,68
7,5,7,8,70
7,6,9,7,74
8,9,10,8,88
5,7,7,9,76
6,8,6,6,64
